Education Level;Province;Island;State-owned School with Internet;Private-owned School with Internet;Total Schools with Internet;Total State-owned Schools;Total Private-owned Schools;Total Schools;State-owned School without Internet;Private-owned School without Internet;Total Schools without Internet;
Vocational High School;Jawa Timur;Java;285;1781;266;297;185;2147;12;69;81;
Vocational High School;Banten;Java;84;601;685;91;633;724;7;32;39;
Vocational High School;Bali;Bali;54;107;161;57;113;170;3;6;9;
Vocational High School;Nusa Tenggara Barat;Lesser Sunda Islands;90;198;288;99;230;329;9;32;41;
Vocational High School;Nusa Tenggara Timur;Lesser Sunda Islands;133;129;262;174;169;343;41;40;81;
Vocational High School;Kalimantan Barat;Kalimantan;96;100;196;117;116;233;21;16;37;
Vocational High School;Kalimantan Tengah;Kalimantan;73;41;114;94;45;139;21;4;25;
Vocational High School;Kalimantan Selatan;Kalimantan;58;63;121;64;64;128;6;1;7;
Vocational High School;Kalimantan Timur;Kalimantan;76;118;194;88;129;217;12;11;23;
Vocational High School;Kalimantan Utara;Kalimantan;17;10;27;22;12;34;5;2;7;
Vocational High School;Sulawesi Utara;Sulawesi;68;79;147;92;100;192;24;21;45;
Vocational High School;Sulawesi Tengah;Sulawesi;79;58;137;107;75;182;28;17;45;
Vocational High School;Sulawesi Selatan;Sulawesi;140;212;352;168;238;406;28;26;54;
Vocational High School;Sulawesi Tenggara;Sulawesi;65;43;108;102;66;168;37;23;60;
Vocational High School;Gorontalo;Sulawesi;32;17;49;40;19;59;8;2;10;
Vocational High School;Sulawesi Barat;Sulawesi;45;53;98;60;70;130;15;17;32;
Vocational High School;Maluku;Maluku Islands;60;32;92;84;36;120;24;4;28;
Vocational High School;Maluku Utara;Maluku Islands;41;38;79;63;87;150;22;49;71;
Vocational High School;Papua Barat;New Guinea;12;5;17;16;5;21;4;0;4;
Vocational High School;Papua Barat Daya;New Guinea;12;19;31;16;22;38;4;3;7;
Vocational High School;Papua;New Guinea;27;13;40;35;14;49;8;1;9;
Vocational High School;Papua Tengah;New Guinea;11;27;38;16;35;51;5;8;13;
Vocational High School;Papua Selatan;New Guinea;14;3;17;21;4;25;7;1;8;
Vocational High School;Papua Pegunungan;New Guinea;4;4;8;10;9;19;6;5;11;
High School;Aceh;Sumatra;337;125;462;394;145;539;57;20;77;
High School;Sumatera Utara;Sumatra;375;577;952;432;635;167;57;58;115;
High School;Sumatera Barat;Sumatra;204;93;297;236;102;338;32;9;41;
High School;Riau;Sumatra;275;142;417;313;154;467;38;12;50;
High School;Jambi;Sumatra;135;70;205;163;84;247;28;14;42;
High School;Sumatera Selatan;Sumatra;284;255;539;330;283;613;46;28;74;
High School;Bengkulu;Sumatra;93;32;125;109;42;151;16;10;26;
High School;Lampung;Sumatra;209;262;471;239;288;527;30;26;56;
High School;Kepulauan Bangka Belitung;Sumatra;44;26;70;47;27;74;3;1;4;
High School;Kepulauan Riau;Sumatra;82;68;150;93;75;168;11;7;18;
High School;DKI Jakarta;Java;111;363;474;117;379;496;6;16;22;
High School;Jawa Barat;Java;503;1199;1702;514;1254;1768;11;55;66;
High School;Jawa Tengah;Java;351;484;835;362;499;861;11;15;26;
High School;DI Yogyakarta;Java;68;101;169;69;104;173;1;3;4;
High School;Jawa Timur;Java;409;146;1455;423;194;1517;14;48;62;
High School;Banten;Java;154;422;576;161;446;607;7;24;31;
High School;Bali;Bali;82;69;151;90;73;163;8;4;12;
High School;Nusa Tenggara Barat;Lesser Sunda Islands;140;186;326;150;215;365;10;29;39;
High School;Nusa Tenggara Timur;Lesser Sunda Islands;276;184;460;393;218;611;117;34;151;
High School;Kalimantan Barat;Kalimantan;223;156;379;285;187;472;62;31;93;
High School;Kalimantan Tengah;Kalimantan;138;53;191;181;64;245;43;11;54;
High School;Kalimantan Selatan;Kalimantan;126;62;188;142;65;207;16;3;19;
High School;Kalimantan Timur;Kalimantan;121;85;206;145;92;237;24;7;31;
High School;Kalimantan Utara;Kalimantan;37;21;58;46;22;68;9;1;10;
High School;Sulawesi Utara;Sulawesi;101;84;185;121;108;229;20;24;44;
High School;Sulawesi Tengah;Sulawesi;150;53;203;176;58;234;26;5;31;
High School;Sulawesi Selatan;Sulawesi;297;235;532;337;270;607;40;35;75;
High School;Sulawesi Tenggara;Sulawesi;181;52;233;251;64;315;70;12;82;
High School;Gorontalo;Sulawesi;49;8;57;62;9;71;13;1;14;
High School;Sulawesi Barat;Sulawesi;54;12;66;77;15;92;23;3;26;
High School;Maluku;Maluku Islands;153;60;213;215;73;288;62;13;75;
High School;Maluku Utara;Maluku Islands;78;44;122;139;85;224;61;41;102;
High School;Papua Barat;New Guinea;25;20;45;43;21;64;18;1;19;
High School;Papua Barat Daya;New Guinea;30;25;55;43;29;72;13;4;17;
High School;Papua;New Guinea;40;47;87;57;56;113;17;9;26;
High School;Papua Tengah;New Guinea;17;22;39;28;28;56;11;6;17;
High School;Papua Selatan;New Guinea;17;9;26;22;15;37;5;6;11;
High School;Papua Pegunungan;New Guinea;17;10;27;44;18;62;27;8;35;
